BEGIN STREAM 0
Template: query96.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DEPCNT.01 = 5
	HOUR.01 = 8
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query7.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2001
	ES.01 = 4 yr Degree
	MS.01 = M
	GEN.01 = M
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query75.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2000
	CATEGORY.01 = Shoes
	CINDX.01 = 4
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query44.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STORE.01 = 6
	NULLCOLSS.01 = ss_hdemo_sk
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query39.tpl
	__LIMITA.01 = 
	_END.01 = 
	YEAR.01 = 2001
	MONTH.01 = 1
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query80.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALES_DATE.01 = 2002-08-04
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query32.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CSDATE.01 = 1999-02-22
	YEAR.01 = 1999
	IMID.01 = 283
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query19.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MANAGER.01 = 8
	MGR_IDX.01 = 1
	MONTH.01 = 11
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query25.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	AGG.01 = min
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query78.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_LIMIT.01 = 100
	_END.01 = 
	SELECTONE.01 = ss_customer_sk
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query86.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1205
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query1.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	AGG_FIELD.01 = SR_RETURN_AMT_INC_TAX
	YEAR.01 = 1999
	STATE.01 = TN
	COUNTY.01 = 1
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query91.tpl
	__LIMITA.01 = 
	_END.01 = 
	GMT.01 = -6
	BUY_POTENTIAL.01 = Unknown
	MONTH.01 = 11
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query21.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALES_DATE.01 = 2000-05-19
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query43.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2000
	GMT.01 = -5
	COUNTY.01 = 1
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query27.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STATE_F.01 = TN
	STATE_E.01 = TN
	STATE_D.01 = TN
	STATE_C.01 = TN
	STATE_B.01 = TN
	STATE_A.01 = TN
	STATENUMBER.01 = 1
	STATENUMBER.02 = 1
	STATENUMBER.03 = 1
	STATENUMBER.04 = 1
	STATENUMBER.05 = 1
	STATENUMBER.06 = 1
	ES.01 = Secondary
	MS.01 = U
	GEN.01 = M
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query94.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STATE.01 = WI
	MONTH.01 = 4
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query45.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	QOY.01 = 2
	YEAR.01 = 2000
	GBOBC.01 = ca_city
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query58.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALES_DATE.01 = 2000-02-12
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query64.tpl
	__LIMITA.01 = 
	_END.01 = 
	YEAR.01 = 2001
	PRICE.01 = 22
	COLOR.01 = light
	COLOR.02 = cyan
	COLOR.03 = burnished
	COLOR.04 = green
	COLOR.05 = almond
	COLOR.06 = smoke
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query36.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STATE_H.01 = TN
	STATE_G.01 = TN
	STATE_F.01 = TN
	STATE_E.01 = TN
	STATE_D.01 = TN
	STATE_C.01 = TN
	STATE_B.01 = TN
	STATE_A.01 = TN
	STATENUMBER.01 = 1
	STATENUMBER.02 = 1
	STATENUMBER.03 = 1
	STATENUMBER.04 = 1
	STATENUMBER.05 = 1
	STATENUMBER.06 = 1
	STATENUMBER.07 = 1
	STATENUMBER.08 = 1
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query33.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CATEGORY.01 = Books
	GMT.01 = -5
	COUNTY.01 = 1
	MONTH.01 = 4
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query46.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CITY_E.01 = Fairview
	CITY_D.01 = Fairview
	CITY_C.01 = Fairview
	CITY_B.01 = Fairview
	CITY_A.01 = Midway
	CITYNUMBER.01 = 1
	CITYNUMBER.02 = 2
	CITYNUMBER.03 = 2
	CITYNUMBER.04 = 2
	CITYNUMBER.05 = 2
	VEHCNT.01 = 1
	YEAR.01 = 1999
	DEPCNT.01 = 3
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query62.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1217
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query16.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	COUNTY_E.01 = Williamson County
	COUNTY_D.01 = Williamson County
	COUNTY_C.01 = Williamson County
	COUNTY_B.01 = Williamson County
	COUNTY_A.01 = Williamson County
	COUNTYNUMBER.01 = 1
